Buses Bio Bio,7:00,9:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,7:00,9:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,8:00,10:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,8:00,10:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,8:30,10:45,2:15,40,$5.500,1,Clasico
Buses Bio Bio,9:00,11:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,9:00,11:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,10:00,12:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,10:00,12:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,11:00,13:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,11:00,13:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,12:00,14:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,12:00,14:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,13:00,15:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,13:00,15:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,14:00,16:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,14:00,16:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,14:30,16:45,2:15,40,$5.500,1,Clasico
Buses Bio Bio,15:00,17:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,15:00,17:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,16:00,18:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,16:00,18:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,17:00,19:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,17:00,19:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,17:30,19:45,2:15,40,$5.500,1,Clasico
Buses Bio Bio,18:00,20:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,18:00,20:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,19:00,21:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,19:00,21:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,20:00,22:15,2:15,20,$8.000,1,Salon Cama
Buses Bio Bio,20:00,22:15,2:15,40,$7.000,2,Semi Cama
Buses Bio Bio,21:00,23:15,2:15,40,$5.500,1,Clasico
